Transaction_ID,Order_ID,Order_Date,Delivery_Date,Month,Quarter,Distributor_Name,Distributor_Location,Retailer_ID,Retailer_Name,Retailer_Area,Retailer_Type,Request_Channel,Section,SKU_Code,Product_Name,Consumer_Demand_Reason,Qty_Requested,Qty_Supplied,Unit_Dist_Price_INR,MRP_per_Unit_INR,Gross_Amount_INR,Discount_Percent,Discount_Amount_INR,Net_Amount_INR,GST_Percent,GST_Amount_INR,Invoice_Amount_INR,Order_Status,Payment_Mode,Payment_Status,Remarks
TXN-CP-0014,ORD-2024-0037,04-01-2024,05-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R06,Dey Traders,"Udaipur, Gomati",Textile Shop,Email,Outer Wear - Women,JK-OWW-024,Sports Leggings,Women fitness & yoga trend,18,18,455,650,8190,10,819.0,7371.0,12,884.52,8255.52,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0015,ORD-2024-0005,05-01-2024,06-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R16,Kalyan Stores,"Sonamura, Sipahijala",General Store,In-Person Visit,Outer Wear - Men,JK-OWM-016,T-Shirt - Round Neck,Casual daily wear - high demand,22,22,245,350,5390,3,161.7,5228.3,12,627.4,5855.7,Fulfilled,UPI / NEFT,Partially Paid,
TXN-CP-0016,ORD-2024-0009,05-01-2024,06-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Inner Wear - Men,JK-IWM-004,Trunk - Premium,Consumer upgrade preference,151,151,182,260,27482,5,1374.1,26107.9,12,3132.95,29240.85,Fulfilled,Cheque,Paid,
TXN-CP-0017,ORD-2024-0009,05-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Inner Wear - Women,JK-IWW-014,Camisole - Regular,Daily layering - humid climate,158,158,175,250,27650,8,2212.0,25438.0,12,3052.56,28490.56,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0018,ORD-2024-0009,05-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Essentials,JK-ESS-038,N95 Type Mask (Pack of 5),Health & pollution awareness,112,112,105,150,11760,5,588.0,11172.0,12,1340.64,12512.64,Fulfilled,Cheque,Due (Pending),
TXN-CP-0019,ORD-2024-0025,05-01-2024,09-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R17,Jamatia Traders,"Longtharai Valley, Dhalai",Wholesale Retail,Phone Call,Outer Wear - Women,JK-OWW-022,T-Shirt - Women,Casual wear - growing demand,121,121,266,380,32186,0,0.0,32186.0,12,3862.32,36048.32,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0020,ORD-2024-0035,05-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,94,94,140,200,13160,0,0.0,13160.0,12,1579.2,14739.2,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0021,ORD-2024-0035,05-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Inner Wear - Men,JK-IWM-001,Brief - Regular,Daily wear essential - high volume,76,76,105,150,7980,3,239.4,7740.6,12,928.87,8669.47,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0022,ORD-2024-0035,05-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,In-Person Visit,Inner Wear - Men,JK-IWM-002,Brief - Premium,Consumer upgrade preference,143,143,154,220,22022,8,1761.76,20260.24,12,2431.23,22691.47,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0023,ORD-2024-0014,06-01-2024,08-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R08,Paul Garments,"Dharmanagar, North Tripura",General Store,WhatsApp Message,Outer Wear - Men,JK-OWM-017,T-Shirt - V Neck,Casual daily wear,67,67,266,380,17822,3,534.66,17287.34,12,2074.48,19361.82,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0024,ORD-2024-0014,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R08,Paul Garments,"Dharmanagar, North Tripura",General Store,WhatsApp Message,Essentials,JK-ESS-034,Full Length Socks (Pk 3),Winter & formal occasion,29,29,105,150,3045,0,0.0,3045.0,12,365.4,3410.4,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0025,ORD-2024-0023,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,WhatsApp Message,Kids Section,JK-KDS-029,Kids Vest,Daily wear essential,64,64,63,90,4032,0,0.0,4032.0,12,483.84,4515.84,Fulfilled,Cheque,Paid,School reopening season order
TXN-CP-0026,ORD-2024-0023,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,WhatsApp Message,Inner Wear - Women,JK-IWW-015,Thermal Set - Women,Winter season demand,218,218,525,750,114450,0,0.0,114450.0,12,13734.0,128184.0,Fulfilled,Credit - 30 Days,Paid,Winter season - hill area customers
TXN-CP-0027,ORD-2024-0023,06-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,WhatsApp Message,Kids Section,JK-KDS-027,Kids Brief - Boys,School season - parent bulk buy,97,97,70,100,6790,0,0.0,6790.0,12,814.8,7604.8,Fulfilled,Credit - 15 Days,Paid,School reopening season order
TXN-CP-0028,ORD-2024-0027,06-01-2024,09-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,WhatsApp Message,Inner Wear - Men,JK-IWM-009,Thermal Trouser,Winter season - hill area demand,194,194,350,500,67900,10,6790.0,61110.0,12,7333.2,68443.2,Fulfilled,UPI / NEFT,Paid,Winter season - hill area customers
TXN-CP-0029,ORD-2024-0027,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,WhatsApp Message,Inner Wear - Men,JK-IWM-005,Boxer Short,Youth & young adult demand,102,102,210,300,21420,3,642.6,20777.4,12,2493.29,23270.69,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0030,ORD-2024-0027,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,WhatsApp Message,Essentials,JK-ESS-035,Sports Socks (Pack of 3),Sports & fitness demand,93,93,126,180,11718,0,0.0,11718.0,12,1406.16,13124.16,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0031,ORD-2024-0027,06-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,WhatsApp Message,Inner Wear - Men,JK-IWM-001,Brief - Regular,Daily wear essential - high volume,24,24,105,150,2520,10,252.0,2268.0,12,272.16,2540.16,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0032,ORD-2024-0031,08-01-2024,09-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R09,Nath Stores,"Kailashahar, Unakoti",General Store,Written Order Form,Outer Wear - Women,JK-OWW-022,T-Shirt - Women,Casual wear - growing demand,79,79,266,380,21014,5,1050.7,19963.3,12,2395.6,22358.9,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0033,ORD-2024-0031,08-01-2024,10-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R09,Nath Stores,"Kailashahar, Unakoti",General Store,Written Order Form,Inner Wear - Men,JK-IWM-009,Thermal Trouser,Winter season - hill area demand,197,197,350,500,68950,3,2068.5,66881.5,12,8025.78,74907.28,Fulfilled,Credit - 30 Days,Paid,Winter season - hill area customers
TXN-CP-0034,ORD-2024-0008,10-01-2024,11-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Written Order Form,Essentials,JK-ESS-035,Sports Socks (Pack of 3),Sports & fitness demand,64,64,126,180,8064,10,806.4,7257.6,12,870.91,8128.51,Fulfilled,Cheque,Paid,
TXN-CP-0035,ORD-2024-0008,10-01-2024,14-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Written Order Form,Outer Wear - Women,JK-OWW-026,Sports Shorts - Women,Summer season demand,35,35,266,380,9310,0,0.0,9310.0,12,1117.2,10427.2,Fulfilled,Cheque,Paid,
TXN-CP-0036,ORD-2024-0008,10-01-2024,13-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Written Order Form,Inner Wear - Women,JK-IWW-013,Panty - Hipster,Youth fashion demand,104,104,126,180,13104,10,1310.4,11793.6,12,1415.23,13208.83,Fulfilled,UPI / NEFT,Partially Paid,
TXN-CP-0037,ORD-2024-0008,10-01-2024,13-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Written Order Form,Kids Section,JK-KDS-028,Kids Panty - Girls,School season - parent bulk buy,121,121,70,100,8470,8,677.6,7792.4,12,935.09,8727.49,Fulfilled,Credit - 30 Days,Paid,School reopening season order
TXN-CP-0038,ORD-2024-0001,11-01-2024,16-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R09,Nath Stores,"Kailashahar, Unakoti",General Store,Phone Call,Inner Wear - Women,JK-IWW-013,Panty - Hipster,Youth fashion demand,63,63,126,180,7938,5,396.9,7541.1,12,904.93,8446.03,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0039,ORD-2024-0001,11-01-2024,12-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R09,Nath Stores,"Kailashahar, Unakoti",General Store,Phone Call,Inner Wear - Men,JK-IWM-008,Thermal Vest,Winter season - hill area demand,227,227,315,450,71505,0,0.0,71505.0,12,8580.6,80085.6,Fulfilled,UPI / NEFT,Paid,Winter season - hill area customers
TXN-CP-0040,ORD-2024-0016,12-01-2024,17-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Inner Wear - Men,JK-IWM-008,Thermal Vest,Winter season - hill area demand,125,125,315,450,39375,3,1181.25,38193.75,12,4583.25,42777.0,Fulfilled,Cash on Delivery,Paid,Winter season - hill area customers
TXN-CP-0041,ORD-2024-0016,12-01-2024,15-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Kids Section,JK-KDS-029,Kids Vest,Daily wear essential,47,47,63,90,2961,8,236.88,2724.12,12,326.89,3051.01,Fulfilled,Credit - 15 Days,Paid,School reopening season order
TXN-CP-0042,ORD-2024-0004,13-01-2024,17-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R16,Kalyan Stores,"Sonamura, Sipahijala",General Store,Phone Call,Inner Wear - Men,JK-IWM-001,Brief - Regular,Daily wear essential - high volume,22,22,105,150,2310,10,231.0,2079.0,12,249.48,2328.48,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0043,ORD-2024-0004,13-01-2024,17-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R16,Kalyan Stores,"Sonamura, Sipahijala",General Store,Phone Call,Inner Wear - Men,JK-IWM-003,Trunk - Regular,Daily wear essential,98,98,126,180,12348,8,987.84,11360.16,12,1363.22,12723.38,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0044,ORD-2024-0004,13-01-2024,14-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R16,Kalyan Stores,"Sonamura, Sipahijala",General Store,Phone Call,Inner Wear - Men,JK-IWM-004,Trunk - Premium,Consumer upgrade preference,31,31,182,260,5642,5,282.1,5359.9,12,643.19,6003.09,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0045,ORD-2024-0004,13-01-2024,17-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R16,Kalyan Stores,"Sonamura, Sipahijala",General Store,Phone Call,Kids Section,JK-KDS-032,Kids Thermal Set,Winter demand for children,191,191,350,500,66850,10,6685.0,60165.0,12,7219.8,67384.8,Fulfilled,Cheque,Paid,School reopening season order
TXN-CP-0046,ORD-2024-0028,15-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Kids Section,JK-KDS-028,Kids Panty - Girls,School season - parent bulk buy,42,42,70,100,2940,0,0.0,2940.0,12,352.8,3292.8,Fulfilled,Cash on Delivery,Paid,School reopening season order
TXN-CP-0047,ORD-2024-0028,15-01-2024,18-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Outer Wear - Men,JK-OWM-021,Jogger Pants,Youth athleisure trend,66,66,490,700,32340,0,0.0,32340.0,12,3880.8,36220.8,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0048,ORD-2024-0007,16-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,63,63,140,200,8820,0,0.0,8820.0,12,1058.4,9878.4,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0049,ORD-2024-0007,16-01-2024,18-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Kids Section,JK-KDS-031,Kids Track Pants,School sports & home wear,108,108,245,350,26460,0,0.0,26460.0,12,3175.2,29635.2,Fulfilled,Credit - 30 Days,Paid,School reopening season order
TXN-CP-0050,ORD-2024-0007,16-01-2024,17-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Kids Section,JK-KDS-027,Kids Brief - Boys,School season - parent bulk buy,36,36,70,100,2520,8,201.6,2318.4,12,278.21,2596.61,Fulfilled,UPI / NEFT,Paid,School reopening season order
TXN-CP-0051,ORD-2024-0011,16-01-2024,18-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,Written Order Form,Kids Section,JK-KDS-028,Kids Panty - Girls,School season - parent bulk buy,17,17,70,100,1190,3,35.7,1154.3,12,138.52,1292.82,Fulfilled,Credit - 30 Days,Due (Pending),School reopening season order
TXN-CP-0052,ORD-2024-0002,17-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R07,Roy Fashion,"Dharmanagar, North Tripura",Fashion Store,Written Order Form,Outer Wear - Women,JK-OWW-022,T-Shirt - Women,Casual wear - growing demand,26,26,266,380,6916,10,691.6,6224.4,12,746.93,6971.33,Fulfilled,Cheque,Paid,
TXN-CP-0053,ORD-2024-0002,17-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R07,Roy Fashion,"Dharmanagar, North Tripura",Fashion Store,Written Order Form,Outer Wear - Men,JK-OWM-021,Jogger Pants,Youth athleisure trend,39,39,490,700,19110,0,0.0,19110.0,12,2293.2,21403.2,Fulfilled,Cheque,Due (Pending),
TXN-CP-0054,ORD-2024-0015,17-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Outer Wear - Women,JK-OWW-026,Sports Shorts - Women,Summer season demand,55,55,266,380,14630,3,438.9,14191.1,12,1702.93,15894.03,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0055,ORD-2024-0015,17-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,106,106,140,200,14840,10,1484.0,13356.0,12,1602.72,14958.72,Fulfilled,Credit - 30 Days,Partially Paid,
TXN-CP-0056,ORD-2024-0015,17-01-2024,21-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Kids Section,JK-KDS-029,Kids Vest,Daily wear essential,74,52,63,90,3276,10,327.6,2948.4,12,353.81,3302.21,Partially Fulfilled,Cheque,Paid,Partial supply due to stock shortage
TXN-CP-0057,ORD-2024-0015,17-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R14,Reang Retail,"Sabroom, South Tripura",General Store,Email,Essentials,JK-ESS-035,Sports Socks (Pack of 3),Sports & fitness demand,30,30,126,180,3780,0,0.0,3780.0,12,453.6,4233.6,Fulfilled,Cheque,Partially Paid,
TXN-CP-0058,ORD-2024-0022,17-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R15,Lodh Fashion,"Bishalgarh, Sipahijala",Fashion Store,In-Person Visit,Kids Section,JK-KDS-028,Kids Panty - Girls,School season - parent bulk buy,131,93,70,100,6510,0,0.0,6510.0,12,781.2,7291.2,Partially Fulfilled,UPI / NEFT,Due (Pending),Partial supply due to stock shortage
TXN-CP-0059,ORD-2024-0022,17-01-2024,22-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R15,Lodh Fashion,"Bishalgarh, Sipahijala",Fashion Store,In-Person Visit,Essentials,JK-ESS-035,Sports Socks (Pack of 3),Sports & fitness demand,51,51,126,180,6426,0,0.0,6426.0,12,771.12,7197.12,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0060,ORD-2024-0022,17-01-2024,Awaited,January,Q1,Chirag Paul,"Agartala, Tripura",R15,Lodh Fashion,"Bishalgarh, Sipahijala",Fashion Store,In-Person Visit,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,33,0,140,200,0,0,0.0,0.0,12,0.0,0.0,Pending Delivery,Cash on Delivery,N/A,
TXN-CP-0061,ORD-2024-0019,18-01-2024,22-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Outer Wear - Women,JK-OWW-025,Track Pants - Women,Athleisure trend,32,32,406,580,12992,0,0.0,12992.0,12,1559.04,14551.04,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0062,ORD-2024-0019,18-01-2024,22-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Kids Section,JK-KDS-027,Kids Brief - Boys,School season - parent bulk buy,155,125,70,100,8750,0,0.0,8750.0,12,1050.0,9800.0,Partially Fulfilled,Cash on Delivery,Paid,Partial supply due to stock shortage
TXN-CP-0063,ORD-2024-0019,18-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Essentials,JK-ESS-038,N95 Type Mask (Pack of 5),Health & pollution awareness,83,83,105,150,8715,0,0.0,8715.0,12,1045.8,9760.8,Fulfilled,Credit - 30 Days,Partially Paid,
TXN-CP-0064,ORD-2024-0019,18-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R04,Bhowmik Retail,"Agartala, West Tripura",Wholesale Retail,Phone Call,Kids Section,JK-KDS-030,Kids T-Shirt,Back-to-school & festive buying,169,169,154,220,26026,5,1301.3,24724.7,12,2966.96,27691.66,Fulfilled,UPI / NEFT,Paid,School reopening season order
TXN-CP-0065,ORD-2024-0030,18-01-2024,23-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,Phone Call,Essentials,JK-ESS-033,Ankle Socks (Pack of 3),Daily wear - impulse purchase,90,90,84,120,7560,8,604.8,6955.2,12,834.62,7789.82,Fulfilled,Cash on Delivery,Partially Paid,
TXN-CP-0066,ORD-2024-0030,18-01-2024,23-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,Phone Call,Outer Wear - Men,JK-OWM-019,Track Pants,Athleisure & home wear trend,61,61,420,600,25620,10,2562.0,23058.0,12,2766.96,25824.96,Fulfilled,Cheque,Paid,
TXN-CP-0067,ORD-2024-0030,18-01-2024,19-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,Phone Call,Inner Wear - Men,JK-IWM-001,Brief - Regular,Daily wear essential - high volume,110,110,105,150,11550,0,0.0,11550.0,12,1386.0,12936.0,Fulfilled,Cheque,Paid,
TXN-CP-0068,ORD-2024-0030,18-01-2024,21-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R01,Debbarma Garments,"Agartala, West Tripura",General Store,Phone Call,Outer Wear - Men,JK-OWM-016,T-Shirt - Round Neck,Casual daily wear - high demand,17,9,245,350,2205,3,66.15,2138.85,12,256.66,2395.51,Partially Fulfilled,Credit - 15 Days,Paid,Partial supply due to stock shortage
TXN-CP-0069,ORD-2024-0036,18-01-2024,20-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,Written Order Form,Essentials,JK-ESS-037,Cotton Face Mask (Pk 3),Health & hygiene awareness,46,46,63,90,2898,0,0.0,2898.0,12,347.76,3245.76,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0070,ORD-2024-0036,18-01-2024,22-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R05,Saha Clothings,"Udaipur, Gomati",General Store,Written Order Form,Inner Wear - Men,JK-IWM-006,Vest - Regular,Daily wear essential - high volume,65,65,98,140,6370,0,0.0,6370.0,12,764.4,7134.4,Fulfilled,Cash on Delivery,Paid,
